date;Q_Oshib;y_Oshib;t2m_min;t2m;t2m_max;prec;evap
1936-01-01 00:00:00 UTC;1.33;0.13832;-9.3;-4.4;-3.3;1.4;0.006927271
1936-01-02 00:00:00 UTC;1.15;0.1196;-5.6;-4.8;-3.6;0.7;0.002342117
1936-01-03 00:00:00 UTC;1.19;0.12376;-4.8;-1.3;-0.1;0.4;0.043996966
1936-01-04 00:00:00 UTC;1.24;0.12896;-2.1;-1.3;-0.4;0;0.044722102
1936-01-05 00:00:00 UTC;1.33;0.13832;-9.1;-7.4;-2;0;0
1936-01-06 00:00:00 UTC;1.2;0.1248;-6.4;-2.9;-2;0.1;0.026304866
1936-01-07 00:00:00 UTC;1.18;0.12272;-7.4;-4.9;-2.6;0.1;0.001276954
1936-01-08 00:00:00 UTC;1.15;0.1196;-14.9;-10.7;-7;0.1;0
1936-01-09 00:00:00 UTC;0.85;0.0884;-14.3;-11.4;-9;1.2;0
1936-01-10 00:00:00 UTC;0.93;0.09672;-11.5;-8.8;-8.5;3.2;0
1936-01-11 00:00:00 UTC;0.93;0.09672;-12.4;-9.8;-8.1;3.3;0
1936-01-12 00:00:00 UTC;0.89;0.09256;-22.9;-18.9;-12.3;0;0
1936-01-13 00:00:00 UTC;0.89;0.09256;-22.4;-10.1;-5.6;0.5;0
1936-01-14 00:00:00 UTC;0.93;0.09672;-13.5;-8.7;-4.5;0.1;0
1936-01-15 00:00:00 UTC;0.98;0.10192;-11.2;-8.5;-8;0;0
1936-01-16 00:00:00 UTC;1.02;0.10608;-13.6;-11;-9.3;0.4;0
1936-01-17 00:00:00 UTC;1.02;0.10608;-14.4;-12.3;-9.5;1.5;0
1936-01-18 00:00:00 UTC;0.93;0.09672;-15.7;-14;-13.1;0.9;0
1936-01-19 00:00:00 UTC;1.02;0.10608;-16.7;-13.5;-12.5;0.4;0
1936-01-20 00:00:00 UTC;0.93;0.09672;-16.1;-15.2;-13.5;0.2;0
1936-01-21 00:00:00 UTC;0.85;0.0884;-14.9;-9.8;-5.8;0.4;0
1936-01-22 00:00:00 UTC;0.89;0.09256;-8.4;-5.1;-3.2;0.2;0
1936-01-23 00:00:00 UTC;0.89;0.09256;-10.5;-8.7;-7.1;1.8;0
1936-01-24 00:00:00 UTC;1.15;0.1196;-8.2;-6;-1.6;5.9;0
1936-01-25 00:00:00 UTC;1.02;0.10608;-15.2;-8.2;0;1.5;0
1936-01-26 00:00:00 UTC;1.02;0.10608;-16.1;-14.4;-12.3;2.5;0
1936-01-27 00:00:00 UTC;0.93;0.09672;-22.4;-19.8;-14.9;0.6;0
1936-01-28 00:00:00 UTC;0.93;0.09672;-23.4;-22.5;-21.3;1.2;0
1936-01-29 00:00:00 UTC;1.11;0.11544;-30;-24.9;-21.6;1;0
1936-01-30 00:00:00 UTC;0.93;0.09672;-34.9;-33.1;-28.2;0;0
1936-01-31 00:00:00 UTC;0.85;0.0884;-37.1;-33.2;-29.3;0;0
1936-02-01 00:00:00 UTC;0.93;0.09672;-39.2;-33.3;-23;0;0
1936-02-02 00:00:00 UTC;1.02;0.10608;-33.7;-20.2;-12;0;0
1936-02-03 00:00:00 UTC;1.15;0.1196;-16.3;-13.4;-10.9;0;0
1936-02-04 00:00:00 UTC;0.93;0.09672;-11;-8.4;-6.9;0.2;0
1936-02-05 00:00:00 UTC;0.86;0.08944;-8.2;-7.4;-6.6;3.6;0
1936-02-06 00:00:00 UTC;0.78;0.08112;-8;-6.6;-3.6;0.7;0
1936-02-07 00:00:00 UTC;0.78;0.08112;-9.5;-7;-3.7;0;0
1936-02-08 00:00:00 UTC;0.78;0.08112;-23.4;-14.8;-7.4;0.5;0
1936-02-09 00:00:00 UTC;0.74;0.07696;-35.1;-30.2;-23.1;0;0
1936-02-10 00:00:00 UTC;0.82;0.08528;-38.3;-30.6;-20.8;0.6;0
1936-02-11 00:00:00 UTC;0.9;0.0936;-20.9;-12;-6.7;2.2;0
1936-02-12 00:00:00 UTC;1.07;0.11128;-30.3;-25.6;-9.6;0;0
